09061701461,2
08002986030,2
07732584351,1
09061209465,3
09066364589,2
09064012160,2
07742676969,2
09064019788,1
08712300220,6
07046744435,1
09061701939,1
09058094597,2
08000930705,15
08002986906,4
08718720201,7
08708800282,1
08000839402,15
08717205546,1
09057039994,1
08000938767,3
09064012103,1
07123456789,2
09111032124,1
09058094455,1
09066382422,2
09061743806,2
07781482378,2
09050002311,2
08717898035,3
07815296484,1
09050005321,1
08002988890,1
08715705022,4
08712402050,2
07753741225,1
07946746291,1
09064019014,2
08715203694,1
08718711108,1
08452810071,1
08712404000,1
08714712388,1
09071512433,2
08714712394,1
08706091795,2
09066368327,1
08718727870,3
08000407165,2
08702840625,4
08701417012,3
09065174042,2
08002888812,2
09066350750,2
09061104283,1
08719899217,1
09064011000,2
09058094565,2
09065171142,2
08709222922,2
09063440451,1
09061749602,1
09050001808,2
09063458130,3
09065394514,1
09058097218,1
09058091854,2
09050003091,2
09061221061,2
09061790121,3
09050000301,1
08000776320,2
08707808226,1
08450542832,1
08719181503,1
08719181513,2
08712405020,4
08712402779,1
08718730555,1
09096102316,1
09701213186,1
08707509020,6
08718730666,2
09099725823,1
09066362231,2
07801543489,1
09099726395,1
08719899230,1
08701237397,1
09058094599,2
08712317606,2
08712405022,2
09099726429,1
09050001295,1
09063442151,1
09094646899,2
09041940223,1
09111030116,1
07734396839,2
09064018838,1
09050280520,1
08001950382,4
08718726970,1
09058094594,1
09061743811,1
09090900040,1
08452810073,3
08715500022,1
08702490080,1
09090204448,1
09050090044,6
09065394973,1
09061743810,1
08006344447,2
09094100151,1
09066362220,1
08700469649,1
08717168528,1
08714712379,1
09065069120,1
09099726481,1
09065069154,1
08718738034,1
09056242159,2
08718726971,1
09066368753,1
08712402902,1
09058098002,1
09066612661,3
09061701444,1
08704050406,1
09066362206,1
09050000555,1
08715203028,1
08712103738,1
09058099801,2
09058094454,1
08712400200,1
08718723815,1
08714714011,1
08712400603,1
08708034412,2
09053750005,1
08712101358,2
09066358361,1
09065989180,1
08718726978,1
09058097189,1
09061221066,4
09050000928,1
07090201529,1
09066364349,1
08081263000,1
08712402972,1
09058095201,1
09066368470,1
08448714184,1
09099726553,1
09050000878,1
08701752560,1
09050000460,1
09066660100,1
07090298926,1
09065989182,2
08704439680,1
09058095107,1
08717895698,1
08712466669,1
09061701851,1
09061104276,1
08717890890,1
09061702893,2
09066358152,1
08719181259,1
09061743386,2
09066364311,2
08709501522,1
09064017305,1
08717111821,1
07973788240,1
08714342399,1
08707500020,1
09061790125,1
07008009200,1
08712402578,1
09061744553,2
09058091870,1
08719839835,1
09071512432,1
08717509990,1
09066380611,2
08718738002,1
07099833605,1
07808726822,1
09077818151,1
08719180219,1
08715203652,1
08718726270,2
09058094507,1
08714712412,1
08715203685,1
09094646631,1
08701213186,1
09066361921,1
08715205273,1
08715203656,1
09064015307,1
09061213237,2
09061790126,1
09095350301,1
08717507382,1
09058094583,1
09050000332,1
09064017295,1
08448350055,1
07808247860,1
08718738001,1
12345678901,51
